altersgruppe,region,datum,anzahl,summe,population
0 - 9,CH,2020-02-24,2,2,883904
10 - 19,CH,2020-02-24,1,1,858994
20 - 29,CH,2020-02-24,16,16,1027732
30 - 39,CH,2020-02-24,15,15,1254957
40 - 49,CH,2020-02-24,7,7,1205539
50 - 59,CH,2020-02-24,8,8,1300012
60 - 69,CH,2020-02-24,4,4,991217
70 - 79,CH,2020-02-24,3,3,744449
80+,CH,2020-02-24,1,1,471987
Unbekannt,CH,2020-02-24,0,0,NA
0 - 9,CH,2020-03-02,4,6,883904
10 - 19,CH,2020-03-02,9,10,858994
20 - 29,CH,2020-03-02,42,58,1027732
30 - 39,CH,2020-03-02,59,74,1254957
40 - 49,CH,2020-03-02,75,82,1205539
50 - 59,CH,2020-03-02,84,92,1300012
60 - 69,CH,2020-03-02,47,51,991217
70 - 79,CH,2020-03-02,33,36,744449
80+,CH,2020-03-02,24,25,471987
Unbekannt,CH,2020-03-02,0,0,NA
0 - 9,CH,2020-03-09,13,19,883904
10 - 19,CH,2020-03-09,45,55,858994
20 - 29,CH,2020-03-09,266,324,1027732
30 - 39,CH,2020-03-09,356,430,1254957
40 - 49,CH,2020-03-09,389,471,1205539
50 - 59,CH,2020-03-09,457,549,1300012
60 - 69,CH,2020-03-09,280,331,991217
70 - 79,CH,2020-03-09,259,295,744449
80+,CH,2020-03-09,197,222,471987
Unbekannt,CH,2020-03-09,3,3,NA
0 - 9,CH,2020-03-16,26,45,883904
10 - 19,CH,2020-03-16,195,250,858994
20 - 29,CH,2020-03-16,748,1072,1027732
30 - 39,CH,2020-03-16,920,1350,1254957
40 - 49,CH,2020-03-16,1042,1513,1205539
50 - 59,CH,2020-03-16,1442,1991,1300012
60 - 69,CH,2020-03-16,904,1235,991217
70 - 79,CH,2020-03-16,664,959,744449
80+,CH,2020-03-16,598,820,471987
Unbekannt,CH,2020-03-16,19,22,NA
0 - 9,CH,2020-03-23,16,61,883904
10 - 19,CH,2020-03-23,172,422,858994
20 - 29,CH,2020-03-23,783,1855,1027732
30 - 39,CH,2020-03-23,921,2271,1254957
40 - 49,CH,2020-03-23,1145,2658,1205539
50 - 59,CH,2020-03-23,1560,3551,1300012
60 - 69,CH,2020-03-23,1017,2252,991217
70 - 79,CH,2020-03-23,790,1749,744449
80+,CH,2020-03-23,936,1756,471987
Unbekannt,CH,2020-03-23,5,27,NA
0 - 9,CH,2020-03-30,23,84,883904
10 - 19,CH,2020-03-30,157,579,858994
20 - 29,CH,2020-03-30,742,2597,1027732
30 - 39,CH,2020-03-30,736,3007,1254957
40 - 49,CH,2020-03-30,952,3610,1205539
50 - 59,CH,2020-03-30,1267,4818,1300012
60 - 69,CH,2020-03-30,673,2925,991217
70 - 79,CH,2020-03-30,541,2290,744449
80+,CH,2020-03-30,926,2682,471987
Unbekannt,CH,2020-03-30,7,34,NA
0 - 9,CH,2020-04-06,17,101,883904
10 - 19,CH,2020-04-06,102,681,858994
20 - 29,CH,2020-04-06,507,3104,1027732
30 - 39,CH,2020-04-06,453,3460,1254957
40 - 49,CH,2020-04-06,546,4156,1205539
50 - 59,CH,2020-04-06,648,5466,1300012
60 - 69,CH,2020-04-06,367,3292,991217
70 - 79,CH,2020-04-06,325,2615,744449
80+,CH,2020-04-06,631,3313,471987
Unbekannt,CH,2020-04-06,4,38,NA
0 - 9,CH,2020-04-13,9,110,883904
10 - 19,CH,2020-04-13,67,748,858994
20 - 29,CH,2020-04-13,286,3390,1027732
30 - 39,CH,2020-04-13,273,3733,1254957
40 - 49,CH,2020-04-13,256,4412,1205539
50 - 59,CH,2020-04-13,295,5761,1300012
60 - 69,CH,2020-04-13,143,3435,991217
70 - 79,CH,2020-04-13,125,2740,744449
80+,CH,2020-04-13,380,3693,471987
Unbekannt,CH,2020-04-13,3,41,NA
0 - 9,CH,2020-04-20,8,118,883904
10 - 19,CH,2020-04-20,45,793,858994
20 - 29,CH,2020-04-20,201,3591,1027732
30 - 39,CH,2020-04-20,172,3905,1254957
40 - 49,CH,2020-04-20,165,4577,1205539
50 - 59,CH,2020-04-20,211,5972,1300012
60 - 69,CH,2020-04-20,99,3534,991217
70 - 79,CH,2020-04-20,76,2816,744449
80+,CH,2020-04-20,190,3883,471987
Unbekannt,CH,2020-04-20,0,41,NA
0 - 9,CH,2020-04-27,19,137,883904
10 - 19,CH,2020-04-27,25,818,858994
20 - 29,CH,2020-04-27,123,3714,1027732
30 - 39,CH,2020-04-27,107,4012,1254957
40 - 49,CH,2020-04-27,104,4681,1205539
50 - 59,CH,2020-04-27,120,6092,1300012
60 - 69,CH,2020-04-27,63,3597,991217
70 - 79,CH,2020-04-27,30,2846,744449
80+,CH,2020-04-27,108,3991,471987
Unbekannt,CH,2020-04-27,1,42,NA
0 - 9,CH,2020-05-04,13,150,883904
10 - 19,CH,2020-05-04,24,842,858994
20 - 29,CH,2020-05-04,62,3776,1027732
30 - 39,CH,2020-05-04,64,4076,1254957
40 - 49,CH,2020-05-04,64,4745,1205539
50 - 59,CH,2020-05-04,65,6157,1300012
60 - 69,CH,2020-05-04,33,3630,991217
70 - 79,CH,2020-05-04,25,2871,744449
80+,CH,2020-05-04,50,4041,471987
Unbekannt,CH,2020-05-04,0,42,NA
0 - 9,CH,2020-05-11,8,158,883904
10 - 19,CH,2020-05-11,24,866,858994
20 - 29,CH,2020-05-11,28,3804,1027732
30 - 39,CH,2020-05-11,31,4107,1254957
40 - 49,CH,2020-05-11,33,4778,1205539
50 - 59,CH,2020-05-11,44,6201,1300012
60 - 69,CH,2020-05-11,26,3656,991217
70 - 79,CH,2020-05-11,16,2887,744449
80+,CH,2020-05-11,21,4062,471987
Unbekannt,CH,2020-05-11,0,42,NA
0 - 9,CH,2020-05-18,6,164,883904
10 - 19,CH,2020-05-18,10,876,858994
20 - 29,CH,2020-05-18,32,3836,1027732
30 - 39,CH,2020-05-18,15,4122,1254957
40 - 49,CH,2020-05-18,23,4801,1205539
50 - 59,CH,2020-05-18,26,6227,1300012
60 - 69,CH,2020-05-18,15,3671,991217
70 - 79,CH,2020-05-18,10,2897,744449
80+,CH,2020-05-18,16,4078,471987
Unbekannt,CH,2020-05-18,0,42,NA
0 - 9,CH,2020-05-25,7,171,883904
10 - 19,CH,2020-05-25,15,891,858994
20 - 29,CH,2020-05-25,25,3861,1027732
30 - 39,CH,2020-05-25,19,4141,1254957
40 - 49,CH,2020-05-25,22,4823,1205539
50 - 59,CH,2020-05-25,23,6250,1300012
60 - 69,CH,2020-05-25,5,3676,991217
70 - 79,CH,2020-05-25,5,2902,744449
80+,CH,2020-05-25,5,4083,471987
Unbekannt,CH,2020-05-25,0,42,NA
0 - 9,CH,2020-06-01,5,176,883904
10 - 19,CH,2020-06-01,16,907,858994
20 - 29,CH,2020-06-01,19,3880,1027732
30 - 39,CH,2020-06-01,14,4155,1254957
40 - 49,CH,2020-06-01,9,4832,1205539
50 - 59,CH,2020-06-01,11,6261,1300012
60 - 69,CH,2020-06-01,8,3684,991217
70 - 79,CH,2020-06-01,9,2911,744449
80+,CH,2020-06-01,7,4090,471987
Unbekannt,CH,2020-06-01,0,42,NA
0 - 9,CH,2020-06-08,14,190,883904
10 - 19,CH,2020-06-08,11,918,858994
20 - 29,CH,2020-06-08,25,3905,1027732
30 - 39,CH,2020-06-08,26,4181,1254957
40 - 49,CH,2020-06-08,20,4852,1205539
50 - 59,CH,2020-06-08,23,6284,1300012
60 - 69,CH,2020-06-08,17,3701,991217
70 - 79,CH,2020-06-08,3,2914,744449
80+,CH,2020-06-08,1,4091,471987
Unbekannt,CH,2020-06-08,0,42,NA
0 - 9,CH,2020-06-15,7,197,883904
10 - 19,CH,2020-06-15,10,928,858994
20 - 29,CH,2020-06-15,49,3954,1027732
30 - 39,CH,2020-06-15,32,4213,1254957
40 - 49,CH,2020-06-15,19,4871,1205539
50 - 59,CH,2020-06-15,23,6307,1300012
60 - 69,CH,2020-06-15,17,3718,991217
70 - 79,CH,2020-06-15,8,2922,744449
80+,CH,2020-06-15,6,4097,471987
Unbekannt,CH,2020-06-15,0,42,NA
0 - 9,CH,2020-06-22,9,206,883904
10 - 19,CH,2020-06-22,28,956,858994
20 - 29,CH,2020-06-22,104,4058,1027732
30 - 39,CH,2020-06-22,70,4283,1254957
40 - 49,CH,2020-06-22,63,4934,1205539
50 - 59,CH,2020-06-22,51,6358,1300012
60 - 69,CH,2020-06-22,20,3738,991217
70 - 79,CH,2020-06-22,8,2930,744449
80+,CH,2020-06-22,6,4103,471987
Unbekannt,CH,2020-06-22,0,42,NA
0 - 9,CH,2020-06-29,8,214,883904
10 - 19,CH,2020-06-29,57,1013,858994
20 - 29,CH,2020-06-29,209,4267,1027732
30 - 39,CH,2020-06-29,137,4420,1254957
40 - 49,CH,2020-06-29,102,5036,1205539
50 - 59,CH,2020-06-29,84,6442,1300012
